country,gender,year,match_type,event_name,team,team_outcome,team_score
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Loss,0
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Leinster Lightning,Win,3
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Leinster Lightning,Win,3
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,North-West Warriors,Loss,0
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Loss,0
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Leinster Lightning,Win,3
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,North-West Warriors,Loss,0
Ireland,Male,2016,ODM,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Win,3
Ireland,Male,2016,T20,Cricket Ireland Inter-Provincial Twenty20 Trophy,North-West Warriors,Win,3
Ireland,Male,2016,T20,Cricket Ireland Inter-Provincial Twenty20 Trophy,Northern Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Cape Cobras,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Cape Cobras,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Cape Cobras,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Cape Cobras,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Cape Cobras,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Dolphins,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Knights,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Lions,Loss,0
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Titans,Win,3
South Africa,Male,2016,T20,CSA T20 Challenge,Warriors,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,St Lucia Zouks,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,St Kitts and Nevis Patriots,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Guyana Amazon Warriors,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,St Lucia Zouks,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,St Lucia Zouks,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Trinbago Knight Riders,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Trinbago Knight Riders,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Guyana Amazon Warriors,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Barbados Tridents,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,St Kitts and Nevis Patriots,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Barbados Tridents,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Trinbago Knight Riders,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Barbados Tridents,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,St Lucia Zouks,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Guyana Amazon Warriors,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Jamaica Tallawahs,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Jamaica Tallawahs,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,St Kitts and Nevis Patriots,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Jamaica Tallawahs,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Trinbago Knight Riders,Loss,0
West Indies,Male,2016,T20,Caribbean Premier League,Jamaica Tallawahs,Win,3
West Indies,Male,2016,T20,Caribbean Premier League,Barbados Tridents,Loss,0
Australia,Male,2016,T20,Big Bash League,Sydney Thunder,Loss,0
Australia,Male,2016,T20,Big Bash League,Sydney Sixers,Win,3
Australia,Male,2016,T20,Big Bash League,Adelaide Strikers,Loss,0
Australia,Male,2016,T20,Big Bash League,Brisbane Heat,Win,3
Australia,Male,2016,T20,Big Bash League,Melbourne Renegades,Win,3
Australia,Male,2016,T20,Big Bash League,Sydney Thunder,Loss,0
Australia,Male,2016,T20,Big Bash League,Sydney Sixers,Loss,0
