dates,event_name,gender,match_type,winner,overs,season,team_type,team1,team2,result,method,stage
2016-05-02,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Northern Knights,Leinster Lightning,NA,NA,NA
2016-05-30,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Leinster Lightning,North-West Warriors,NA,NA,NA
2016-06-12,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,NA,50,2016,club,North-West Warriors,Leinster Lightning,no result,NA,NA
2016-07-31,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Northern Knights,Leinster Lightning,NA,NA,NA
2016-08-07,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Northern Knights,50,2016,club,North-West Warriors,Northern Knights,NA,D/L,NA
2016-05-27,Cricket Ireland Inter-Provincial Twenty20 Trophy,male,T20,North-West Warriors,20,2016,club,North-West Warriors,Northern Knights,NA,NA,NA
2016-11-12,CSA T20 Challenge,male,T20,Knights,20,2016/17,club,Knights,Cape Cobras,NA,NA,NA
2016-11-12,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Lions,NA,NA,NA
2016-11-13,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Dolphins,Warriors,NA,NA,NA
2016-11-16,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Cape Cobras,Titans,NA,NA,NA
2016-11-18,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Knights,Titans,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Dolphins,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Warriors,Knights,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Cape Cobras,NA,D/L,NA
2016-11-25,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Lions,Warriors,NA,NA,NA
2016-11-25,CSA T20 Challenge,male,T20,Dolphins,20,2016/17,club,Knights,Dolphins,NA,NA,NA
2016-11-25,CSA T20 Challenge,male,T20,NA,20,2016/17,club,Cape Cobras,Titans,no result,NA,NA
2016-11-27,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Knights,NA,NA,NA
2016-11-27,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Dolphins,NA,NA,NA
